No,名前,バージョン,評価,コメント
0252,キモリ,1,★★★☆☆,リアルなトカゲになっているが、普通のトカゲ感が強い。尻尾が葉ではなく、別の場所に葉が。
0253,ジュプトル,1,★★★★☆,雰囲気だいぶ出ているけど、頭と手首の葉が背中に集約されてしまった。
0254,ジュカイン,1,★★★★☆,同じく雰囲気かなり出ているけど、葉が背中に行ってしまっている。
0255,アチャモ,1,★★★★★,リアルなかわいいひよこを表現できている。
0256,ワカシャモ,1,★★★★★,格闘家っぽいようなリアルな鶏を表現できている。
0257,バシャーモ,1,★★★★★,本格的な格闘家の鳥人間っぽさを表現できている。
0258,ミズゴロウ,1,★★★★★,リアルな両生類の子供っぽい可愛さを出せていて完璧。
0259,ヌマクロー,1,★★★★☆,リアルに表現できているが、胴体が長すぎて違和感がある。尻尾も見えない。
0260,ラグラージ,1,★★★★☆,リアルに表現できているが、しっぽにインパクトがない。
0261,ポチエナ,1,★★☆☆☆,特徴はとらえているものの、ハイエナに寄せすぎてアニメから遠ざかりつつある。
0262,グラエナ,1,★★☆☆☆,同じく特徴はとらえているものの、ハイエナに寄せすぎてアニメから遠ざかりつつある。
0263,ジグザグマ,1,★★☆☆☆,特徴のジグザグが表現できていない。アナグマ要素が強く出すぎている。アライグマに寄せた方が良いかも。
0264,マッスグマ,1,★★☆☆☆,ちょっと体系が太くなりすぎている。同じくアナグマ要素が強く、もっとイタチ寄りにした方が良いかも。
0265,ケムッソ,1,★★☆☆☆,足が生えてしまっているので、もはや毛虫ではなく小動物感。
0266,カラサリス,1,★★★★☆,素材が糸ではなく毛糸になってしまった。とげとげ感もいまいち弱い。
0267,アゲハント,1,★★★★☆,マスコットベースにリアルなアゲハチョウも融合できたが、可愛さが不足している。
0268,マユルド,1,★★★★☆,素材が糸ではなく毛糸になってしまった。とげとげ感もいまいち弱い。
0269,ドクケイル,1,★★★☆☆,不気味な感が出ていて、なんとなくリアルな蛾だが、羽の形が違い、胴体や目も違う感じ。
0270,ハスボー,1,★★★★☆,頭がアヒルになっていて、蓮が皿ではなく傘形状になっている。
0271,ハスブレロ,1,★★★★☆,体の模様がうまく表現できず、頭にかぶっているのも傘形状の蓮。
0272,ルンパッパ,1,★★★★☆,雰囲気がおじいさんぽくなってわんぱく感が足りない。
0273,タネボー,1,★★☆☆☆,なんとなくどんぐりということがわかるが、胴体と手がついてしまって崩れている。
0274,コノハナ,1,★☆☆☆☆,マッチョな怪しい人にしか見えない。
0275,ダーテング,1,★☆☆☆☆,天狗感が全くなく、モグラにも見えるし、手の葉っぱが違和感半端ない。
0276,スバメ,1,★★★★★,まんまツバメを表現できていて完璧。
0277,オオスバメ,1,★★★★☆,ちょっと鋭さが足りず、猛禽類っぽさがほしかった。
0278,キャモメ,1,★★★☆☆,なんとかカモメっぽくはなったが、キャモメの形状とは違う感じ。
0279,ペリッパー,1,★★☆☆☆,ペリカンぽく表現しようとしているが、異形コダックにしか見えない。
0280,ラルトス,1,★★★★★,頭のハートは縦ではなく横並びになっているけど、その違和感を感じさせないくらいに完成度高い。
0281,キルリア,1,★★★★★,妖精の子供っぽさを完璧に表現できている。
0282,サーナイト,1,★★★★★,子供たちを守る優しい母親感が出ていて完璧な仕上がり。
0283,アメタマ,1,★★★☆☆,なんとなくそう見えるけど、脚の生え方がクラゲにしか見えない。
0284,アメモース,1,★☆☆☆☆,謎の透明な飛行物体にしか見えず、原型がない。
0285,キノココ,1,★☆☆☆☆,ボールがキノコからはみ出てしまって、何かわからない。
0286,キノガッサ,1,★★☆☆☆,キノコの格闘家ではなく、キノコ仙人みたいな雰囲気になってしまった。
0287,ナマケロ,1,★★★★☆,まんまナマケモノだが、ポケモンっぽさがない。
0288,ヤルキモノ,1,★★★☆☆,雰囲気が出ているが、ポケモン感が弱い。
0289,ケッキング,1,★☆☆☆☆,普通のゴリラで、ポーズがなぜかナマケロと同じ。耳に手を当てて寝るポーズではない。
0290,ツチニン,1,★★★☆☆,なんとなく雰囲気は出せているが、なんか違う感。
0291,テッカニン,1,★★★☆☆,雰囲気はあるが、蝉ではなく蜂っぽい。
0292,ヌケニン,1,★☆☆☆☆,もはや虫ではなく、魂の抜けた紙人形。
0293,ゴニョニョ,1,★☆☆☆☆,ウサギのマスコット。
0294,ドゴーム,1,★☆☆☆☆,四角い化け物。
0295,バクオング,1,★☆☆☆☆,機械型ロボ。
0296,マクノシタ,1,★★★☆☆,雰囲気は出せているが、頭にだけ袋かぶっている状態になり、形が崩れている。
0297,ハリテヤマ,1,★★☆☆☆,普通の相撲取り人形になってしまった。
0298,ルリリ,1,★★★☆☆,風船に乗った感じを表現できたが、しっぽが設置された遊具のよう。なぜか手も片方あって、マリルと同じようにも見える。大きな風船で何とか差別化できている感じ。
