No,名前,バージョン,評価,コメント
0152,チコリータ,1,★★★★★,かわいらしい首長竜の子供を表現できており、きれいな植物性の子恐竜になっている。
0153,ベイリーフ,1,★★★★★,首長竜を表現できている。植物が強く表現できている。
0154,メガニウム,1,★★★★★,首長竜を表現できている。花もきれいでまったく違和感がない。
0155,ヒノアラシ,1,★★★☆☆,リアルな獣の子供を表現できているが、ヒノアラシとは違う。目が開いている。
0156,マグマラシ,1,★★★★☆,だいぶマグマラシの雰囲気には近いが、炎のともり方が違う。
0157,バクフーン,1,★★★☆☆,普通の動物という感じでインパクトに欠ける。あまり怖いと思わない。
0158,ワニノコ,1,★★★★★,リアルなわんぱくな子ワニを表現できた。
0159,アリゲイツ,1,★★★★★,リアルなワニで頭のとさかもリアルに表現できている。
0160,オーダイル,1,★★★★★,全体的にどっしりとした肉厚なワニを表現できており、強そう。
0161,オタチ,1,★★☆☆☆,最大の特徴であるしっぽで立つ感じを表現できなかった。他にもアニメと相違する部分が多い。
0162,オオタチ,1,★★★☆☆,リアルなイタチっぽくなっているが、別ポケモンのミルホッグのようにも見える。
0163,ホーホー,1,★★★★☆,現実にいなさそうな特徴的なフクロウだが、完成度は高くなった。顔と胴体が分かれてしまったのが惜しい。
0164,ヨルノズク,1,★★★★☆,リアルなミミズクを完璧に表現できた。ヨルノズクとはちょっと違う。
0165,レディバ,1,★★★☆☆,リアルなかわいいテントウムシを再現できたが、体の色や足の感じ等アニメ版と相違する部分が多い。
0166,レディアン,1,★★★★☆,リアルなかっこいいテントウムシを再現できた。雰囲気はかなり出ているが、蜻蛉感が強く、手の本数や形状が異なる。
0167,イトマル,1,★★★★☆,リアルなクモを再現できた。惜しいのは象徴となるはずの背中の顔っぽい模様が描かれていない。
0168,アリアドス,1,★★★★☆,リアルな巨大毒グモを表現できたが、何かが抜けているというか違うというか。
0169,クロバット,1,★★☆☆☆,進化前のズバット、ゴルバットと合わせて作成。4枚羽がうまく表現できず、足と同化してしまった。
0170,チョンチー,1,★★★★★,足で立っている感が出ていないが、電球や顔の作りですべてをカバーできており、完璧。
0171,ランターン,1,★★★★★,こちらも不足しているところが一部あるが、リアルな電球や勇敢な顔つきでカバーできており、完璧。
0172,ピチュー,1,★★★★★,リアルな電気をまとったかわいい子ネズミを表現できている。
0173,ピィ,1,★★☆☆☆,進化後のピッピ、ピクシーと合わせて作成。小さなぬいぐるみ感は出ているが、ピィだとわかりにくい。
0174,ププリン,1,★★★☆☆,進化後のプリン、プクリンと合わせて作成。ププリンっぽいが、縦長な感じで雰囲気が違う。
0175,トゲピー,1,★★★★★,現実にいないようなファンタジーなポケモンだが、リアルな卵とかわいらしさを表現できており、完璧。
0176,トゲチック,1,★★★★★,同じく現実離れしたポケモンだが、かわいい空飛ぶ妖精を再現できたように思う。
0177,ネイティ,1,★☆☆☆☆,普通のかわいい鳥という感じ。丸っこさが足りず、目は鋭い方が良い。
0178,ネイティオ,1,★★☆☆☆,雰囲気はある程度出すことができたが、別次元の鳥っぽい感じ。
0179,メリープ,1,★★★★★,ちょっとファンタジー寄りになったが、羊の毛がリアルに再現できていて、非がない。
0180,モココ,1,★★★★☆,リアルな2足歩行の羊を再現できている。が、胴体が長くなりすぎて違和感がある。
0181,デンリュウ,1,★★★★★,羊感のなくなった羊だが、ドラゴンっぽい感じで見事に再現できている。
0182,キレイハナ,1,★★★☆☆,きれいなフラダンスを踊る女性を表現できているが、どことなく人に近いような気もする。
0183,マリル,1,★★★★☆,かわいい風船っぽい水ネズミを再現できたが、お腹の白い部分がぬけてしまった。
0184,マリルリ,1,★★★★★,水遊びしているマリルリそのものをリアル路線で完璧に再現できた。
0185,ウソッキー,1,★★★★★,アニメ寄りにはなったが、木に擬態した岩を再現できている。
0186,ニョロトノ,1,★★★★☆,リアルなカエルの王様を表現できた。目が飛び出しているのがちょっと惜しいところ。
0187,ハネッコ,1,★☆☆☆☆,葉はリアルな蒲公英の葉を表現できているが、顔の部分が耳もなく、顔と胴体が分かれてしまい、アニメから大きくかけ離れている。
0188,ポポッコ,1,★☆☆☆☆,同じく蒲公英の花はリアルになったが、顔の部分が動物っぽさを表現できず、耳も葉になってしまった。
0189,ワタッコ,1,★☆☆☆☆,綿毛を強調した感じでリアリティがあるが、やはり顔部分が全然違った感じになっている。ワタッコ系統すべて失敗。
0190,エイパム,1,★★☆☆☆,どこかNHKの子供番組に出てきそうなサルに似ている。
0191,ヒマナッツ,1,★☆☆☆☆,ヒマワリの種ではあるが、ヒマナッツと形が違う。足も生えてしまっており、アニメと大きくかけ離れてしまった。
0192,キマワリ,1,★★☆☆☆,リアルなひまわりに顔がついていて一体感があるが、手や足の感じを表現できず、キマワリではない。
0193,ヤンヤンマ,1,★★★☆☆,普通のリアルな蜻蛉。ヤンヤンマだとなんとなくわかる程度。
0194,ウパー,1,★★★★★,かわいらしいウーパールーパーをそのまま表現できた。
0195,ヌオー,1,★★★★☆,ぼーっとした感じのオオサンショウウオを再現できているが、座っているからか足が長くなり少し違和感がある。
0196,エーフィ,1,★★★★★,リアルな小動物系で神聖な感じに表現できている。どことなく猫っぽい。
0197,ブラッキー,1,★★★★★,リアルな小動物系でダークな感じに表現できている。黒猫っぽくも見える。
0198,ヤミカラス,1,★★★★★,ファンタジー寄りにはなったが、リアルなカラスをベースに魔法使いっぽさも出せた。
0199,ヤドキング,1,★★★★☆,のんびりとした感じで王者感も出ているので良い。お腹の模様の位置がちょっと違うだけ。
0200,ムウマ,1,★★★★☆,ファンタジー寄りになった。胴体が長く、何かが抜けている感がある。
0201,アンノーン,1,★★★★☆,文字の形はバラバラだが、リアルな質感で再現できた。
0202,ソーナンス,1,,
0203,キリンリキ,1,,
0204,クヌギダマ,1,★☆☆☆☆,普通のミノムシが鉄になっただけのような姿でクヌギダマとは程遠い。
0205,フォレトス,1,★★★★☆,リアルな鋼鉄の球体を表現できている。いまいち形がなんとなく違うような感じ。
0206,ノコッチ,1,,
0207,グライガー,1,,
0208,ハガネール,1,★★★★☆,進化前のイワークと合わせて作成。リアルな鋼鉄の巨大ヘビを表現できたが、顎のしゃくれかんがちょっと足りず、ピカピカになりすぎている。
0209,ブルー,1,,
0210,グランブル,1,,
0211,ハリーセン,1,,
0212,ハッサム,1,★★★★★,ストライクの雰囲気を残しつつ、リアルなメタル虫戦士に寄せることができた。完璧。
0213,ツボツボ,1,★★★★☆,リアルなフジツボっぽい甲羅からにゅるっと本体が出ている感じをリアルに表現できたが、足が多く気持ち悪さも出てしまった。
0214,ヘラクロス,1,★★★☆☆,1世代のカイロスと同じようにリアルな虫戦士感を出せたが、胴体や足が長く人型に寄ってしまった。
0215,ニューラ,1,,
0216,ヒメグマ,1,,
0217,リングマ,1,,
0218,マグマッグ,1,,
0219,マグカルゴ,1,,
0220,ウリムー,1,,
0221,イノムー,1,,
0222,サニーゴ,1,,
0223,テッポウオ,1,,
0224,オクタン,1,,
0225,デリバード,1,,
0226,マンタイン,1,,
0227,エアームド,1,,
0228,デルビル,1,,
0229,ヘルガー,1,,
0230,キングドラ,1,★★★★☆,シードラより強くなりドラゴン感を強く表現できたが、シードラっぽくも見え、若干イラスト寄りになった。
0231,ゴマゾウ,1,,
0232,ドンファン,1,,
0233,ポリゴン2,1,★★★★☆,質感がかなり良く完成度が高いですが、不自然に足が生えてきているのが惜しい。
0234,オドシシ,1,,
0235,ドーブル,1,★★★☆☆,なぜ、しっぽを使わずに筆で描いている？
0236,バルキー,1,★☆☆☆☆,初代のサワムラー・エビワラーとセットで作成。もはや普通のモヒカンの子供。
0237,カポエラー,1,★☆☆☆☆,忍者みたいで何かわからない。バルキーやサワムラーとセットで格闘系の難易度が高いことが判明。エビワラーだけなぜか成功した。
0238,ムチュール,1,★★★☆☆,進化後のルージュラとセットで作成。かなりアニメ寄りになり、胴体が長くなり人間の子供っぽさがある。
0239,エレキッド,1,★★★☆☆,進化後のエレブーとセットで作成。ビリビリしていてリアルになったが、何か惜しいところが多い。
0240,ブビィ,1,★★☆☆☆,進化後のブーバーとセットで作成。雰囲気は出しつつ、ブビィっぽいけど、違ったポケモンになった。
0241,ミルタンク,1,,
0242,ハピナス,1,★★★★☆,幸せを運ぶマスコットキャラクターを表現できている。卵にリアルっぽさがほしかった。
0243,ライコウ,1,,
0244,エンテイ,1,,
0245,スイクン,1,,
0246,ヨーギラス,1,,
0247,サナギラス,1,,
0248,バンギラス,1,,
0249,ルギア,1,,
0250,ホウオウ,1,,
0251,セレビィ,1,,
